门店ID,门店名称,区域,门店类型,商品SKU,商品名称,品类,当前库存,在途数量,安全库存,7天预测需求,缺货风险等级,建议补货量,使用策略,可调拨门店,建议原因,原始建议量,预算池,预算池上限(元),预算池已用(元),是否延后
S003,中关村店,华北区,旗舰店,SKU010,纸巾抽纸3包,日化,12,0,18,244.84,高,0,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约244.8；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",2292.0,日化,,,是
S004,国贸店,华北区,标准店,SKU001,经典牛奶250ml,乳制品,3,0,50,617.75,高,0,乳制品快周转策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约617.8；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",768.0,乳制品,,,是
S004,国贸店,华北区,标准店,SKU002,原味酸奶100g,乳制品,34,33,80,868.34,高,0,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约868.3；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1032.0,乳制品,,,是
S004,国贸店,华北区,标准店,SKU003,全麦面包500g,烘焙,82,29,30,378.44,高,0,烘焙新鲜策略,,"7天预测需求约378.4；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x",156.0,烘焙,,,是
S004,国贸店,华北区,标准店,SKU004,鸡蛋30枚装,蛋品,2,0,20,220.28,高,0,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约220.3；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x",318.0,蛋品,,,是
S004,国贸店,华北区,标准店,SKU005,矿泉水550ml,饮料,31,8,100,1728.5,高,0,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约1728.5；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",4368.0,饮料,25000.0,19476.0,是
S004,国贸店,华北区,标准店,SKU006,可乐330ml罐,饮料,83,45,70,753.19,高,0,饮料促销策略,,"7天预测需求约753.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",1848.0,饮料,25000.0,19476.0,是
S004,国贸店,华北区,标准店,SKU007,薯片原味,零食,9,0,40,762.16,高,0,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约762.2；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",3660.0,零食,15000.0,14976.0,是
S004,国贸店,华北区,标准店,SKU008,巧克力棒,零食,39,2,25,292.41,高,0,零食标准策略,,"7天预测需求约292.4；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",1392.0,零食,15000.0,14976.0,是
S004,国贸店,华北区,标准店,SKU010,纸巾抽纸3包,日化,4,0,18,177.12,高,0,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约177.1；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",1674.0,日化,,,是
S005,天河城店,华南区,旗舰店,SKU001,经典牛奶250ml,乳制品,6,0,50,882.5,高,0,乳制品快周转策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约882.5；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1008.0,乳制品,,,是
S005,天河城店,华南区,旗舰店,SKU002,原味酸奶100g,乳制品,35,1,80,1243.78,高,0,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1243.8；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1440.0,乳制品,,,是
S005,天河城店,华南区,旗舰店,SKU003,全麦面包500g,烘焙,120,30,30,522.59,高,0,烘焙新鲜策略,,"7天预测需求约522.6；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x",198.0,烘焙,,,是
S005,天河城店,华南区,旗舰店,SKU004,鸡蛋30枚装,蛋品,16,0,20,320.84,高,0,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约320.8；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x",433.0,蛋品,,,是
S005,天河城店,华南区,旗舰店,SKU005,矿泉水550ml,饮料,45,5,100,2385.31,高,0,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2385.3；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",5952.0,饮料,25000.0,19476.0,是
S005,天河城店,华南区,旗舰店,SKU006,可乐330ml罐,饮料,137,40,70,1119.25,高,0,饮料促销策略,,"7天预测需求约1119.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",2688.0,饮料,25000.0,19476.0,是
S005,天河城店,华南区,旗舰店,SKU007,薯片原味,零食,8,0,40,1110.44,高,0,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约1110.4；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",5304.0,零食,15000.0,14976.0,是
S005,天河城店,华南区,旗舰店,SKU008,巧克力棒,零食,41,9,25,420.97,高,0,零食标准策略,,"7天预测需求约421.0；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",1980.0,零食,15000.0,14976.0,是
S005,天河城店,华南区,旗舰店,SKU010,纸巾抽纸3包,日化,11,0,18,261.66,高,0,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约261.7；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",2448.0,日化,,,是
